truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text
False,"Join me Monday in Columbus, Ohio &amp; Harrisburg, Pennsylvania! #MAGA

3pm in OH: https://t.co/DDg0AUsqRq

7pm in PA: https://t.co/VmSLBvL43l",False,759389559385952257,11333,iphone,False,3789,False,en,Sat Jul 30 14:05:54 +0000 2016,join monday columbus ohio harrisburg pennsylvania maga pm oh pm pa
False,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the  'American Dream!' https://t.co/yI4Q8FHRjp,False,759381869267980288,28501,iphone,False,10826,False,en,Sat Jul 30 13:35:20 +0000 2016,american homeownership rate q lowest rate yrs bring back american dream
False,We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.,False,759372422692954112,27699,iphone,False,9274,False,en,Sat Jul 30 12:57:48 +0000 2016,suffering worst long term unemployment last years want change crooked hillary clinton
False,"Hillary can never win over Bernie supporters. Her foreign wars, 
NAFTA/TPP support &amp; Wall Street ties are driving away millions of votes.",False,759371648764108801,24793,iphone,False,8111,False,en,Sat Jul 30 12:54:44 +0000 2016,hillary never win bernie supporters foreign wars nafta tpp support wall street ties driving away millions votes
False,"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.",False,759371377002553344,19515,iphone,False,4934,False,en,Sat Jul 30 12:53:39 +0000 2016,colorado amazing yesterday much support tax trade energy reforms bring great jobs colorado whole country
False,"""@patrioticpepe: @realDonaldTrump ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMA'S MISTAKES!!! #Trump2016 https://t.co/yB72Bm2muM""",False,759282300135809024,33279,android,False,12475,False,en,Sat Jul 30 06:59:41 +0000 2016,@patrioticpepe @realdonaldtrump trump unite america fix obama mistakes trump
False,"Thank you Denver, Colorado! 
#MakeAmericaGreatAgain! https://t.co/1KHrLdkOyW",False,759227755494072320,17812,iphone,False,5204,False,en,Sat Jul 30 03:22:57 +0000 2016,thank denver colorado makeamericagreatagain
False,"As usual, Hillary &amp; the Dems are trying to rig the debates so 2 are up against major NFL games. Same as last time w/ Bernie. Unacceptable!",False,759222916387069952,39776,iphone,False,15636,False,en,Sat Jul 30 03:03:43 +0000 2016,usual hillary dems trying rig debates major nfl games last time w bernie unacceptable
False,#CrookedHillary Job Application https://t.co/CKXkAlGSiV,False,759192213234393088,35174,iphone,False,16828,False,en,Sat Jul 30 01:01:43 +0000 2016,crookedhillary job application
False,Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement &amp; insticts.,False,759191265988653056,38144,iphone,False,11835,False,en,Sat Jul 30 00:57:57 +0000 2016,hillary clinton given national security briefings lose cannon extraordinarily bad judgement insticts
