date,clean_text,text,Unnamed: 3,compound_polarity
2015-08-09 00:00:00,@commissarofgg attacked sides yet people hearts calm trust love,@commissarofgg attacked sides yet people hearts calm trust love,,0.7783
2015-08-09 00:00:00,@george frye @realdonaldtrump finally candidate speaks behalf people behalf government go donald,@george frye @realdonaldtrump finally candidate speaks behalf people behalf government go donald,,0.0
2015-08-09 00:00:00,@granitttg @realdonaldtrump first year voting guess got vote donaldtrump,@granitttg @realdonaldtrump first year voting guess got vote donaldtrump,,0.0
2015-08-09 00:00:00,@jonnati @ewerickson twitter allowed silent majority voice want trump makeamericagreatagain,@jonnati @ewerickson twitter allowed silent majority voice want trump makeamericagreatagain,,0.0772
2015-08-09 00:00:00,@sacquisto @realdonaldtrump best candidate great country seen decades makeamericagreatagain,@sacquisto @realdonaldtrump best candidate great country seen decades makeamericagreatagain,,0.8519
2015-08-09 00:00:00,@strayamaaaate donaldtrump shaking things us elections jeb bush really weak carly fiorina shud go back hp,@strayamaaaate donaldtrump shaking things us elections jeb bush really weak carly fiorina shud go back hp,,-0.5984
2015-08-09 00:00:00,@wwdblane @realdonaldtrump nice try jeb wife agrees trump megyn,@wwdblane @realdonaldtrump nice try jeb wife agrees trump megyn,,0.5574
2015-08-09 00:00:00,amazes networks seem treat much better @foxnews brought biggest ratings history get zip,amazes networks seem treat much better @foxnews brought biggest ratings history get zip,,0.8316
2015-08-09 00:00:00,realized listen carly fiorina ten minutes straight develop massive headache zero chance,realized listen carly fiorina ten minutes straight develop massive headache zero chance,,0.4404
2015-08-09 00:00:00,small crowds @redstate today atlanta people angry ewerickson major sleaze buffoon saved time money,small crowds @redstate today atlanta people angry ewerickson major sleaze buffoon saved time money,,-0.128
2015-08-09 00:00:00,wonderful frank gifford passed away age friend truly great guy warmest condolences family,wonderful frank gifford passed away age friend truly great guy warmest condolences family,,0.9485
2015-08-10 00:00:00,@brandenroderick pleased see wonderful statements made media surprised special person,@brandenroderick pleased see wonderful statements made media surprised special person,,0.8807
2015-08-10 00:00:00,@kathielgifford melania send deepest condolences frank special amazing person missed,@kathielgifford melania send deepest condolences frank special amazing person missed,,0.6486
2015-08-10 00:00:00,@katrinacampins thank much wonderful statements made tv also keep great work,@katrinacampins thank much wonderful statements made tv also keep great work,,0.8834
2015-08-10 00:00:00,@libsaredemfools @realdonaldtrump one knows business economy right america,@libsaredemfools @realdonaldtrump one knows business economy right america,,0.0
2015-08-10 00:00:00,enough enough bushes,enough enough bushes,,0.0
2015-08-10 00:00:00,frank great guy married absolutely wonderful woman @kathielgifford couple,frank great guy married absolutely wonderful woman @kathielgifford couple,,0.8439
2015-08-10 00:00:00,interviewed @today show morning joe,interviewed @today show morning joe,,0.0
2015-08-10 00:00:00,oh really check innocent @megynkelly discussion @howardstern show years ago innocent pure one,oh really check innocent @megynkelly discussion @howardstern show years ago innocent pure one,,0.6549
2015-08-11 00:00:00,@ericbolling much better tonight @oreillyfactor better luck tomorrow,@ericbolling much better tonight @oreillyfactor better luck tomorrow,,0.8316
