date,clean_text,text,Unnamed: 3,compound_polarity
2015-06-15 00:00:00,@durandsentinus @jebbush may get headlines today @realdonaldtrump dominate news week regardless announcement tomorrow,@durandsentinus @jebbush may get headlines today @realdonaldtrump dominate news week regardless announcement tomorrow,,-0.128
2015-06-15 00:00:00,@futuristichub @realdonaldtrump vote twice could actually second term president go get em mr trump,@futuristichub @realdonaldtrump vote twice could actually second term president go get em mr trump,,0.0
2015-06-15 00:00:00,@fyrftr @realdonaldtrump trump time true leader lead great country,@fyrftr @realdonaldtrump trump time true leader lead great country,,0.7845
2015-06-15 00:00:00,@looneytunes politicians going get us mess talk simpletruth makeamericagreatagain,@looneytunes politicians going get us mess talk simpletruth makeamericagreatagain,,-0.3612
2015-06-15 00:00:00,@medicimario @realdonaldtrump pls run u would great,@medicimario @realdonaldtrump pls run u would great,,0.6597
2015-06-15 00:00:00,@subdoc trump said @foxandfriends today ppl asking would anyone give lifestyle potus answer trumpcares,@subdoc trump said @foxandfriends today ppl asking would anyone give lifestyle potus answer trumpcares,,0.0
2015-06-15 00:00:00,@zstr liberal end reagan hollywood donald may serious chance @realdonaldtrump,@zstr liberal end reagan hollywood donald may serious chance @realdonaldtrump,,0.1779
2015-06-15 00:00:00,great,great,,0.6249
2015-06-15 00:00:00,great,great,,0.6249
2015-06-15 00:00:00,live periscope,live periscope,,0.0
2015-06-15 00:00:00,really need another bush white house enough,really need another bush white house enough,,0.0
2015-06-15 00:00:00,thanks,thanks,,0.4404
2015-06-15 00:00:00,thanks,thanks,,0.4404
2015-06-15 00:00:00,thanks,thanks,,0.4404
2015-06-15 00:00:00,tomorrow makeamericagreatagain,tomorrow makeamericagreatagain,,0.0
2015-06-15 00:00:00,tomorrow really big day america make america great,tomorrow really big day america make america great,,0.6249
2015-06-16 00:00:00,@appsame going listen @realdonaldtrump really running keep word really great chance win,@appsame going listen @realdonaldtrump really running keep word really great chance win,,0.8942
2015-06-16 00:00:00,@brentcfritz today day america becomes great @realdonaldtrump huge news shock world trump president,@brentcfritz today day america becomes great @realdonaldtrump huge news shock world trump president,,0.5859
2015-06-16 00:00:00,@davidsbaldwin @realdonaldtrump today day trump good luck,@davidsbaldwin @realdonaldtrump today day trump good luck,,0.7096
2015-06-16 00:00:00,@desheay @realdonaldtrump twitter banner awesome cant wait tomorrow trump,@desheay @realdonaldtrump twitter banner awesome cant wait tomorrow trump,,0.6249
2015-06-16 00:00:00,@donjubber @realdonaldtrump shock world trump president,@donjubber @realdonaldtrump shock world trump president,,-0.3818
2015-06-16 00:00:00,@insuraider @realdonaldtrump going make hillary head spin tomorrow morning presidential debate yes please trump,@insuraider @realdonaldtrump going make hillary head spin tomorrow morning presidential debate yes please trump,,0.6124
2015-06-16 00:00:00,@jaketapper donaldtrump iowa says gucci store worth money romney fact check true,@jaketapper donaldtrump iowa says gucci store worth money romney fact check true,,0.5719
2015-06-16 00:00:00,@jarod pitmon full supporter trump @realdonaldtrump guy help country,@jarod pitmon full supporter trump @realdonaldtrump guy help country,,0.5859
2015-06-16 00:00:00,@knight @realdonaldtrump @realjoemurray america great trump helm confidence counts,@knight @realdonaldtrump @realjoemurray america great trump helm confidence counts,,0.8126
2015-06-16 00:00:00,@nickyflash trump president trump @realdonaldtrump,@nickyflash trump president trump @realdonaldtrump,,0.0
2015-06-16 00:00:00,@premuse @realdonaldtrump let take country back trumpleeds,@premuse @realdonaldtrump let take country back trumpleeds,,0.0
2015-06-16 00:00:00,@realjoemurray hopefully tomorrow day start make america great looking forward @realdonaldtrump trump,@realjoemurray hopefully tomorrow day start make america great looking forward @realdonaldtrump trump,,0.7783
2015-06-16 00:00:00,@rg radical counting hours @realdonaldtrump announcement ready america become great supporting mr trump,@rg radical counting hours @realdonaldtrump announcement ready america become great supporting mr trump,,0.8591
2015-06-16 00:00:00,@rhumeey really would want see america would look like @realdonaldtrump helm affairs,@rhumeey really would want see america would look like @realdonaldtrump helm affairs,,0.4728
2015-06-16 00:00:00,almost time making major announcement @trumptowerny follow social media makeamericagreatagain,almost time making major announcement @trumptowerny follow social media makeamericagreatagain,,0.0
2015-06-16 00:00:00,big time u today make america great politicians talk action never bring us back,big time u today make america great politicians talk action never bring us back,,0.6249
2015-06-16 00:00:00,live periscope major announcement makeamericagreatagain,live periscope major announcement makeamericagreatagain,,0.0
2015-06-16 00:00:00,make sure follow @periscopeco makeamericagreatagain,make sure follow @periscopeco makeamericagreatagain,,0.3182
2015-06-16 00:00:00,make sure follow @periscopeco streaming announcement,make sure follow @periscopeco streaming announcement,,0.3182
2015-06-16 00:00:00,makeamericagreatagain,makeamericagreatagain,,0.0
2015-06-16 00:00:00,makeamericagreatagain,makeamericagreatagain,,0.0
2015-06-16 00:00:00,officially running president united states makeamericagreatagain,officially running president united states makeamericagreatagain,,0.4215
2015-06-16 00:00:00,one hour making major announcement trump tower watch live periscope,one hour making major announcement trump tower watch live periscope,,0.0
2015-06-16 00:00:00,thanks,thanks,,0.4404
2015-06-16 00:00:00,thanks eric,thanks eric,,0.4404
2015-06-16 00:00:00,thanks geraldo champion,thanks geraldo champion,,0.7783
2015-06-16 00:00:00,today officially declared candidacy president united states watch video full speech,today officially declared candidacy president united states watch video full speech,,0.4215
2015-06-17 00:00:00,@ericbolling addition doubt would amazing @apprenticenbc keep great work,@ericbolling addition doubt would amazing @apprenticenbc keep great work,,0.7506
