date,clean_text,text,Unnamed: 3,compound_polarity
2014-10-27 00:00:00,@bunnypiper @realdonaldtrump right,@bunnypiper @realdonaldtrump right,,0.0
2014-10-27 00:00:00,@dj dwain @realdonaldtrump mr trump truly enjoy insite opinions please run president usa needs leadership,@dj dwain @realdonaldtrump mr trump truly enjoy insite opinions please run president usa needs leadership,,0.8126
2014-10-27 00:00:00,@foxandfriends minutes great deal talk including ebola quarantine,@foxandfriends minutes great deal talk including ebola quarantine,,0.6249
2014-10-27 00:00:00,@grandmanyca @realdonaldtrump thanks speaking sgt andrew tahmooressi @foxandfriends morning @freethemarine,@grandmanyca @realdonaldtrump thanks speaking sgt andrew tahmooressi @foxandfriends morning @freethemarine,,0.4404
2014-10-27 00:00:00,@its mum thing @realdonaldtrump @foxandfriends totally agree,@its mum thing @realdonaldtrump @foxandfriends totally agree,,0.4201
2014-10-27 00:00:00,@jadamseden @realdonaldtrump articulate concise ever leave trump identify clear present economic enemy mexico,@jadamseden @realdonaldtrump articulate concise ever leave trump identify clear present economic enemy mexico,,-0.2732
2014-10-27 00:00:00,@jetsetterdotcom hong kong featured pages great hometown new york city including @trumpsoho,@jetsetterdotcom hong kong featured pages great hometown new york city including @trumpsoho,,0.6249
2014-10-27 00:00:00,@kathzeh @realdonaldtrump great job @foxandfriends morning,@kathzeh @realdonaldtrump great job @foxandfriends morning,,0.6249
2014-10-27 00:00:00,@katlynne @realdonaldtrump @foxandfriends power man cares country,@katlynne @realdonaldtrump @foxandfriends power man cares country,,0.4588
2014-10-27 00:00:00,@moose taz @foxandfriends @realdonaldtrump right mexico agenda impossible citizenship process god wake,@moose taz @foxandfriends @realdonaldtrump right mexico agenda impossible citizenship process god wake,,0.2732
2014-10-27 00:00:00,@moose taz @realdonaldtrump @foxandfriends income cost living legal citizens america yep obama america sad,@moose taz @realdonaldtrump @foxandfriends income cost living legal citizens america yep obama america sad,,-0.1027
2014-10-27 00:00:00,@realnickventi vote @realdonaldtrump way vote hillary great,@realnickventi vote @realdonaldtrump way vote hillary great,,0.6249
2014-10-27 00:00:00,@riannarichards agree donald trump ban flights ebola infected countries entering u,@riannarichards agree donald trump ban flights ebola infected countries entering u,,-0.6486
2014-10-27 00:00:00,@sfc @realdonaldtrump point always,@sfc @realdonaldtrump point always,,0.0
2014-10-27 00:00:00,@southernlady @realdonaldtrump thank reminding everyone need bringbackourmarine militarymonday,@southernlady @realdonaldtrump thank reminding everyone need bringbackourmarine militarymonday,,0.3612
2014-10-27 00:00:00,@suelordbiz great job fox friends great week thanks shedding light diseases fr porous border,@suelordbiz great job fox friends great week thanks shedding light diseases fr porous border,,0.9349
2014-10-27 00:00:00,@thebingle @realdonaldtrump @riannarichards donald trump said virus made u,@thebingle @realdonaldtrump @riannarichards donald trump said virus made u,,0.0
2014-10-27 00:00:00,@theramenes @foxandfriends good job @realdonaldtrump afraid speak truth people need hear truth,@theramenes @foxandfriends good job @realdonaldtrump afraid speak truth people need hear truth,,0.7579
2014-10-27 00:00:00,@treesappp @realdonaldtrump helluva job donald expected nothing less speaking ur mind country becoming extinct,@treesappp @realdonaldtrump helluva job donald expected nothing less speaking ur mind country becoming extinct,,0.0
2014-10-27 00:00:00,@tylerrice @mike riccardi @realdonaldtrump easily one intelligent among america would win hilary thanks,@tylerrice @mike riccardi @realdonaldtrump easily one intelligent among america would win hilary thanks,,0.9022
2014-10-27 00:00:00,@xoxo la la xoxo @realdonaldtrump trump president trump please run president much good,@xoxo la la xoxo @realdonaldtrump trump president trump please run president much good,,0.8481
2014-10-27 00:00:00,@zackkeighron @realdonaldtrump run president,@zackkeighron @realdonaldtrump run president,,0.0
2014-10-27 00:00:00,achievers move forward times achievement plateau beginning waste time treading water,achievers move forward times achievement plateau beginning waste time treading water,,-0.4215
2014-10-27 00:00:00,congratulations @trump ireland named resort europe @cntraveler readerschoice awards,congratulations @trump ireland named resort europe @cntraveler readerschoice awards,,0.7845
2014-10-27 00:00:00,fox friends going enjoy,fox friends going enjoy,,0.743
2014-10-27 00:00:00,renovations @trumpdoral offers wide array courses restored perfection,renovations @trumpdoral offers wide array courses restored perfection,,0.7269
2014-10-27 00:00:00,thank @tweetbypremier selecting ocean view suite @trump ireland one top suites,thank @tweetbypremier selecting ocean view suite @trump ireland one top suites,,0.5106
2014-10-27 00:00:00,wonder officials @texastech feel treating coach mike leach little respect loss @tcufootball,wonder officials @texastech feel treating coach mike leach little respect loss @tcufootball,,0.1987
2014-10-28 00:00:00,@fapyvaquzoci enough politicians need business man get country back track @realdonaldtrump prez,@fapyvaquzoci enough politicians need business man get country back track @realdonaldtrump prez,,0.0
