date,clean_text,text,Unnamed: 3,compound_polarity
2012-06-21 00:00:00,@barackobama campaign took may spent sound familiar,@barackobama campaign took may spent sound familiar,,0.0
2012-06-21 00:00:00,new @darknightrises trailer fantastic trump tower stood wayne enterprises filming,new @darknightrises trailer fantastic trump tower stood wayne enterprises filming,,0.5574
2012-06-21 00:00:00,opportunity missed people dressed overalls looks like work thomas edison,opportunity missed people dressed overalls looks like work thomas edison,,0.4767
2012-06-21 00:00:00,rape huge problem u military rapes last year,rape huge problem u military rapes last year,,-0.891
2012-06-21 00:00:00,sad american parents think children better much better,sad american parents think children better much better,,0.4019
2012-06-22 00:00:00,b @barackobama spent stimulus solar wind projects created total jobs costing,b @barackobama spent stimulus solar wind projects created total jobs costing,,0.25
2012-06-22 00:00:00,congrats @miamiheat winning @nba championship @mickyarison tremendous owner done wonders cont,congrats @miamiheat winning @nba championship @mickyarison tremendous owner done wonders cont,,0.8658
2012-06-22 00:00:00,good messaging staying point @mittromney called @barackobama anti investment anti business anti jobs,good messaging staying point @mittromney called @barackobama anti investment anti business anti jobs,,-0.4588
2012-06-22 00:00:00,many democrats reelection skipping dnc convention charlotte smart politics,many democrats reelection skipping dnc convention charlotte smart politics,,0.4019
2012-06-22 00:00:00,moody make publicity bank downgrades yesterday make @moody giving aaa cont,moody make publicity bank downgrades yesterday make @moody giving aaa cont,,-0.0258
2012-06-22 00:00:00,sometimes justice chinese military newspaper hacked,sometimes justice chinese military newspaper hacked,,0.1779
2012-06-22 00:00:00,u tuitions completely control last years average price gone unsustainable,u tuitions completely control last years average price gone unsustainable,,0.0
2012-06-22 00:00:00,watch wh spokesman try spin @barackobama rationale using exec priv fast furious,watch wh spokesman try spin @barackobama rationale using exec priv fast furious,,-0.5719
2012-06-22 00:00:00,wind power proving costly unsightly,wind power proving costly unsightly,,-0.1027
2012-06-25 00:00:00,@foxandfriends interview muslim brotherhood taking egypt vast natural gas resources us tax system,@foxandfriends interview muslim brotherhood taking egypt vast natural gas resources us tax system,,0.3612
2012-06-25 00:00:00,another broken promise @barackobama @obamacare actually increases income inequality must fully repealed,another broken promise @barackobama @obamacare actually increases income inequality must fully repealed,,-0.2023
2012-06-25 00:00:00,empty pockets never held anyone back empty heads empty hearts norman vincent peale,empty pockets never held anyone back empty heads empty hearts norman vincent peale,,-0.5267
2012-06-25 00:00:00,glad america starting get know @mittromney way know wonderful decent family man cont,glad america starting get know @mittromney way know wonderful decent family man cont,,0.7717
2012-06-25 00:00:00,insightful article @barackobama,insightful article @barackobama,,0.0
2012-06-25 00:00:00,islamists predicted muslim brotherhood taken egypt @barackobama never abandoned mubarek,islamists predicted muslim brotherhood taken egypt @barackobama never abandoned mubarek,,0.357
2012-06-25 00:00:00,outrageous @barackobama spent b implementing @obamacare since oral arguments scotus,outrageous @barackobama spent b implementing @obamacare since oral arguments scotus,,-0.6908
2012-06-25 00:00:00,statesman @barackobama made sure quickly call muslim brotherhood victor congratulate cont,statesman @barackobama made sure quickly call muslim brotherhood victor congratulate cont,,0.6705
2012-06-25 00:00:00,tomorrow trumptuesday @squawkcnbc,tomorrow trumptuesday @squawkcnbc,,0.0
2012-06-26 00:00:00,experience hard teacher gives test first lesson afterwards vernon sanders law,experience hard teacher gives test first lesson afterwards vernon sanders law,,-0.1027
2012-06-26 00:00:00,scary china development bank looking buy u homes developments country soon,scary china development bank looking buy u homes developments country soon,,-0.4939
2012-06-26 00:00:00,shock @barackobama dnc convention deficit events starting canceled,shock @barackobama dnc convention deficit events starting canceled,,-0.6486
2012-06-26 00:00:00,unemployment record straight months @mittromney election end @barackobama downturn,unemployment record straight months @mittromney election end @barackobama downturn,,-0.25
2012-06-26 00:00:00,welcome new egypt muslim brotherhood representatives take questions israeli journalists,welcome new egypt muslim brotherhood representatives take questions israeli journalists,,0.4588
2012-06-27 00:00:00,fed actions past years could bring record high inflation near future would cont,fed actions past years could bring record high inflation near future would cont,,0.0
2012-06-27 00:00:00,lion list democrats attending @barackobama dnc convention democratic party turmoil,lion list democrats attending @barackobama dnc convention democratic party turmoil,,0.0516
2012-06-27 00:00:00,outsourcer @barackobama campaign using travel company outsourced jobs china india,outsourcer @barackobama campaign using travel company outsourced jobs china india,,0.0
2012-06-27 00:00:00,preliminary talks begun next season celebrityapprentice usual another great season,preliminary talks begun next season celebrityapprentice usual another great season,,0.6249
2012-06-27 00:00:00,secret success life man ready opportunity comes benjamin disraeli,secret success life man ready opportunity comes benjamin disraeli,,0.8402
2012-06-27 00:00:00,terrible @barackobama appoint independent counsel investigate national security leaks accountability,terrible @barackobama appoint independent counsel investigate national security leaks accountability,,-0.1779
2012-06-28 00:00:00,fullrepeal stopping obamacare american people must elect @mittromney november,fullrepeal stopping obamacare american people must elect @mittromney november,,-0.1531
2012-06-28 00:00:00,list @heritage top expensive obamacare taxes fees,list @heritage top expensive obamacare taxes fees,,0.2023
2012-06-28 00:00:00,obamacare bankrupt country lead socialized medicine must focus electing @mittromney november,obamacare bankrupt country lead socialized medicine must focus electing @mittromney november,,-0.5574
2012-06-28 00:00:00,remember @barackobama told @gstephanopoulos true individual mandate tax,remember @barackobama told @gstephanopoulos true individual mandate tax,,0.4215
2012-06-28 00:00:00,usc made terrible decision today requirement buy private health insurance logically government tax,usc made terrible decision today requirement buy private health insurance logically government tax,,-0.4767
2012-06-28 00:00:00,wind farms disgusting look also cause tremendous damage local ecosystems,wind farms disgusting look also cause tremendous damage local ecosystems,,-0.765
2012-06-28 00:00:00,wow supreme court passed @obamacare guess @justiceroberts wanted part georgetown society anyone knew,wow supreme court passed @obamacare guess @justiceroberts wanted part georgetown society anyone knew,,0.8126
2012-06-29 00:00:00,friends mine driving cadillacs becoming hot car raving great job @cadillac done,friends mine driving cadillacs becoming hot car raving great job @cadillac done,,0.802
2012-06-29 00:00:00,general good bad troops command make general douglas macarthur,general good bad troops command make general douglas macarthur,,-0.1531
2012-06-29 00:00:00,great news comes tea party @mittromney received k donations online raised million since obamacare decision,great news comes tea party @mittromney received k donations online raised million since obamacare decision,,0.7783
2012-06-29 00:00:00,great time @mittromney last night focused ready battle ahead lots money raised,great time @mittromney last night focused ready battle ahead lots money raised,,0.765
2012-06-29 00:00:00,interesting roberts said tax order come good public relations decision cont,interesting roberts said tax order come good public relations decision cont,,0.6808
2012-06-29 00:00:00,interesting studies show wind farms warming effect climate,interesting studies show wind farms warming effect climate,,0.5106
2012-06-29 00:00:00,justice kennedy proud sticking principles light justice roberts bullshit,justice kennedy proud sticking principles light justice roberts bullshit,,0.7269
2012-06-29 00:00:00,justice roberts republican party @mittromney great favor essentially said obamacare tax cont,justice roberts republican party @mittromney great favor essentially said obamacare tax cont,,0.9169
2012-06-29 00:00:00,justice roberts turned principles absolutely irrational reasoning order get loving press cont,justice roberts turned principles absolutely irrational reasoning order get loving press cont,,0.6815
2012-06-29 00:00:00,obamacare tax hikes one solution defeat @barackobama november gomitt,obamacare tax hikes one solution defeat @barackobama november gomitt,,-0.1779
