date,clean_text,text,Unnamed: 3,compound_polarity
2010-11-24 00:00:00,best wishes everyone happy thanksgiving,best wishes everyone happy thanksgiving,,0.8591
2010-11-24 00:00:00,tomorrow night episode apprentice delivers excitement qvc along appearances isaac mizrahi cathie black pm nbc,tomorrow night episode apprentice delivers excitement qvc along appearances isaac mizrahi cathie black pm nbc,,0.4939
2010-11-24 00:00:00,watch cnn tomorrow pm pm friday pm pm thanksgiving special hosted john king featured guest,watch cnn tomorrow pm pm friday pm pm thanksgiving special hosted john king featured guest,,0.4019
2010-11-29 00:00:00,congratulations evan lysacek nominated si sportsman year great guy vote evanforsi,congratulations evan lysacek nominated si sportsman year great guy vote evanforsi,,0.8402
2010-12-02 00:00:00,tonight episode apprentice one best ever final high excitement way pm nbc,tonight episode apprentice one best ever final high excitement way pm nbc,,0.8126
2010-12-09 00:00:00,tonight apprentice finale fantastic episode every way great liza minnelli performing new apprentice,tonight apprentice finale fantastic episode every way great liza minnelli performing new apprentice,,0.8271
2010-12-10 00:00:00,congratulations brandy new apprentice clint great player terrific season,congratulations brandy new apprentice clint great player terrific season,,0.9022
2010-12-13 00:00:00,five hotels includetrump international hotel tower new york trump soho new york trump international hotel tower chicago,five hotels includetrump international hotel tower new york trump soho new york trump international hotel tower chicago,,0.0
2010-12-13 00:00:00,hotels currently open trump hotel collection nominated travel leisure world best awards,hotels currently open trump hotel collection nominated travel leisure world best awards,,0.802
2010-12-13 00:00:00,trump international hotel las vegas trump international hotel tower waikiki beach walk,trump international hotel las vegas trump international hotel tower waikiki beach walk,,0.0
2010-12-14 00:00:00,appearing larry king live final show thursday night p cnn larry tv years,appearing larry king live final show thursday night p cnn larry tv years,,0.0
2010-12-16 00:00:00,forget watch larry king tonight cnn pm television legend great friend going fantastic farewell,forget watch larry king tonight cnn pm television legend great friend going fantastic farewell,,0.875
2010-12-23 00:00:00,wishing everyone happy holiday season,wishing everyone happy holiday season,,0.8074
2010-12-30 00:00:00,wishing everyone happy healthy prosperous new year,wishing everyone happy healthy prosperous new year,,0.886
2011-01-12 00:00:00,afternoon speaking neil cavuto world neil cavuto p fox news,afternoon speaking neil cavuto world neil cavuto p fox news,,0.0
2011-01-12 00:00:00,watch late night jimmy fallon tomorrow night nbc making big announcement,watch late night jimmy fallon tomorrow night nbc making big announcement,,0.0
2011-01-13 00:00:00,forget watch tonight late night jimmy fallon nbc making big announcement,forget watch tonight late night jimmy fallon nbc making big announcement,,-0.2263
2011-01-21 00:00:00,busy phoners week neil cavuto wolf blitzer fox friends larry kudlow check,busy phoners week neil cavuto wolf blitzer fox friends larry kudlow check,,0.4767
2011-01-21 00:00:00,miss fabulous world golf second season golf channel beginning january pm et celebrity matches,miss fabulous world golf second season golf channel beginning january pm et celebrity matches,,0.4215
2011-01-27 00:00:00,environmental restrictions america workers need us,environmental restrictions america workers need us,,0.0
2011-01-27 00:00:00,people shouldtrumprun com got right factories supposed compete china countries,people shouldtrumprun com got right factories supposed compete china countries,,0.0
2011-01-31 00:00:00,miss fabulous world golf second season golf channel beginning tonight pm et,miss fabulous world golf second season golf channel beginning tonight pm et,,0.4215
2011-01-31 00:00:00,watch melania qvc morning third line melania timepieces jewelry collection,watch melania qvc morning third line melania timepieces jewelry collection,,0.0
2011-02-07 00:00:00,sure watch oprah today pm channel entire family entertaining hour,sure watch oprah today pm channel entire family entertaining hour,,0.6369
