source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Fri Jul 29 22:05:16 +0000 2016,True,"RT @jacobkornbluh: Haim Saban: “I told [Hillary]: ‘don’t shout. Why are you shouting all the time? It’s drilling a hole in my head."" https:…",rt @jacobkornbluh haim saban told hillary shout shouting time drilling hole head https,rt @jacobkornbluh haim saban i told hillary don t shout why are you shouting all the time it s drilling a hole in my head https
other,Fri Jul 29 21:57:27 +0000 2016,False,"Heather,yes it was the tale of 3 conventions. Fat cats in suites inside; Bernie fans outside &amp; working ppl at home https://t.co/idCstmIbmS",heather yes tale conventions fat cats suites inside bernie fans outside working ppl home,heather yes it was the tale of conventions fat cats in suites inside bernie fans outside working ppl at home
other,Fri Jul 29 21:52:56 +0000 2016,False,#poll vault for Trump by reuters/ipsos. https://t.co/THVExCZuHs,poll vault trump reuters ipsos,poll vault for trump by reuters ipsos
other,Fri Jul 29 21:51:12 +0000 2016,False,"Words matter. Hillary cld swap ""turbulence"" for ""terrorism"" &amp; ""determined enemies"" for ""radical Islamic terrorists"" https://t.co/b6Zgsp3yJ8",words matter hillary cld swap turbulence terrorism determined enemies radical islamic terrorists,words matter hillary cld swap turbulence for terrorism determined enemies for radical islamic terrorists
other,Fri Jul 29 21:42:43 +0000 2016,False,"Thank you, Jerry. That is the beauty of our democracy and the gift of freedom we all share. @CharlieRoseShow #PBS https://t.co/wouvTVcUFh",thank jerry beauty democracy gift freedom share @charlieroseshow pbs,thank you jerry that is the beauty of our democracy and the gift of freedom we all share @charlieroseshow pbs
other,Fri Jul 29 15:45:23 +0000 2016,False,Hillary delivered the 8th most dynamic speech of her convention.  https://t.co/llaD7i4tAT,hillary delivered th dynamic speech convention,hillary delivered the th most dynamic speech of her convention
other,Fri Jul 29 15:44:04 +0000 2016,False,Love this story. Certainly true in my life. Aunts are awesome. #thankyou #loveyou  https://t.co/pVpxoHRo4y,love story certainly true life aunts awesome thankyou loveyou,love this story certainly true in my life aunts are awesome thankyou loveyou
other,Fri Jul 29 15:40:23 +0000 2016,False,Big story that will get little coverage.  https://t.co/Jdwangesy6,big story get little coverage,big story that will get little coverage
other,Fri Jul 29 15:37:20 +0000 2016,True,RT @DanScavino: Hillary is the LAST person - who should speak about anyone else receiving  national security briefings. #Careless https://t…,rt @danscavino hillary last person speak anyone else receiving national security briefings careless,rt @danscavino hillary is the last person who should speak about anyone else receiving national security briefings careless
other,Fri Jul 29 15:35:26 +0000 2016,True,"RT @PaulManafort: Bought and paid for: ""Hedge-fund money: $48.5 million for Clinton, $19,000 for Trump https://t.co/s5bfezo14p via @WSJ""",rt @paulmanafort bought paid hedge fund money million clinton trump via @wsj,rt @paulmanafort bought and paid for hedge fund money million for clinton for trump via @wsj
