truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,"It is unacceptable that the top 10% of farms collect 75% of farm subsidies, while the bottom 62% do not receive any subsidies.",False,737429150235906048,4138,tweetdeck,False,1778,False,en,Mon May 30 23:43:04 +0000 2016,unacceptable top farms collect farm subsidies bottom receive subsidies,it is unacceptable that the top of farms collect of farm subsidies while the bottom do not receive any subsidies
False,RT @LaOpinionLA: Bernie Sanders acabará con deportaciones que desgarran a nuestras familias https://t.co/GmkUBZta4M https://t.co/sNyw9h5PRH,False,737405349297197056,0,iphone,False,387,False,es,Mon May 30 22:08:30 +0000 2016,rt @laopinionla bernie sanders acabar con deportaciones que desgarran nuestras familias,rt @laopinionla bernie sanders acabar con deportaciones que desgarran a nuestras familias
False,"The situation in Flint is a tragedy. All over this country our infrastructure is collapsing, including in the Central Valley here in CA.",False,737394157036003328,3821,tweetdeck,False,1430,False,en,Mon May 30 21:24:01 +0000 2016,situation flint tragedy country infrastructure collapsing including central valley ca,the situation in flint is a tragedy all over this country our infrastructure is collapsing including in the central valley here in ca
False,"We must never take lightly the decision to send our sons and daughters to battle, and it must always be the last resort.",False,737348859408437248,3532,tweetdeck,False,1553,False,en,Mon May 30 18:24:02 +0000 2016,must never take lightly decision send sons daughters battle must always last resort,we must never take lightly the decision to send our sons and daughters to battle and it must always be the last resort
False,Our men and women in uniform take an oath to defend our Constitution and many have made the ultimate sacrifice for it.,False,737347348574011392,2385,tweetdeck,False,844,False,en,Mon May 30 18:18:01 +0000 2016,men women uniform take oath defend constitution many made ultimate sacrifice,our men and women in uniform take an oath to defend our constitution and many have made the ultimate sacrifice for it
False,Today we honor all of the service members who sacrificed their lives for our great country. #MemorialDay2016,False,737344724785205249,4635,tweetdeck,False,1923,False,en,Mon May 30 18:07:36 +0000 2016,today honor service members sacrificed lives great country memorialday,today we honor all of the service members who sacrificed their lives for our great country memorialday
False,We must end inhumane deportation programs and racial profiling that have turned local law enforcement officials into immigration officers.,False,737334787774382080,3510,tweetdeck,False,1452,False,en,Mon May 30 17:28:07 +0000 2016,must end inhumane deportation programs racial profiling turned local law enforcement officials immigration officers,we must end inhumane deportation programs and racial profiling that have turned local law enforcement officials into immigration officers
False,"Private, for-profit detention centers are making record breaking profits every year locking people up and holding immigrants in detention.",False,737300292622942210,3593,tweetdeck,False,1693,False,en,Mon May 30 15:11:02 +0000 2016,private profit detention centers making record breaking profits every year locking people holding immigrants detention,private for profit detention centers are making record breaking profits every year locking people up and holding immigrants in detention
False,We must not allow our children to be poisoned by toxic drinking water just so a handful of fossil fuel companies can make even more profits.,False,737273130494791681,6045,tweetdeck,False,2346,False,en,Mon May 30 13:23:06 +0000 2016,must allow children poisoned toxic drinking water handful fossil fuel companies make even profits,we must not allow our children to be poisoned by toxic drinking water just so a handful of fossil fuel companies can make even more profits
False,RT @AlPunto: #ALPUNTO @BernieSanders dice que su candidatura es la mejor opción para enfrentarse a Trump https://t.co/jsYPtraT66,False,737111886387236864,0,other,False,259,False,es,Mon May 30 02:42:23 +0000 2016,rt @alpunto alpunto @berniesanders dice que su candidatura es la mejor opci n para enfrentarse trump,rt @alpunto alpunto @berniesanders dice que su candidatura es la mejor opci n para enfrentarse a trump
False,"California, every vote counts. It's time to take back our democracy from the political establishment on June 7.
https://t.co/lt8kNyMUv3",False,737104252531671041,3736,tweetdeck,False,2012,False,en,Mon May 30 02:12:03 +0000 2016,california every vote counts time take back democracy political establishment june,california every vote counts it s time to take back our democracy from the political establishment on june
False,We're within striking distance of a victory in California on June 7. Help us win by making calls to voters: https://t.co/aTpBHlAr7O,False,737092942372823041,2711,tweetdeck,False,1246,False,en,Mon May 30 01:27:06 +0000 2016,within striking distance victory california june help us win making calls voters,we re within striking distance of a victory in california on june help us win by making calls to voters
False,"While California is in a serious drought, we are injecting 160K gallons of clean water, on average, into the ground for every fracked well.",False,737070535918510084,7380,tweetdeck,False,4347,False,en,Sun May 29 23:58:04 +0000 2016,california serious drought injecting k gallons clean water average ground every fracked well,while california is in a serious drought we are injecting k gallons of clean water on average into the ground for every fracked well
False,"91 percent of the people who live within a quarter mile of an oil or gas well in Los Angeles are people of color.
https://t.co/w7ayKatr4r",False,737046376341635073,2399,tweetdeck,False,1540,False,en,Sun May 29 22:22:04 +0000 2016,percent people live within quarter mile oil gas well los angeles people color,percent of the people who live within a quarter mile of an oil or gas well in los angeles are people of color
False,Too many farmworkers today aren’t getting the work breaks they need and in some instances they're having their wages stolen by employers.,False,737019194907066369,3421,tweetdeck,False,1303,False,en,Sun May 29 20:34:03 +0000 2016,many farmworkers today getting work breaks need instances wages stolen employers,too many farmworkers today aren t getting the work breaks they need and in some instances they re having their wages stolen by employers
False,"Looks like Bakersfield is ready for a political revolution!
https://t.co/f8tWr4m3zx",False,736995427652767744,2631,iphone,False,1081,False,en,Sun May 29 18:59:37 +0000 2016,looks like bakersfield ready political revolution,looks like bakersfield is ready for a political revolution
False,"If the American people become more engaged in the political process, there is no limit to what we can accomplish.",False,736974884845162496,4855,iphone,False,2175,False,en,Sun May 29 17:37:59 +0000 2016,american people become engaged political process limit accomplish,if the american people become more engaged in the political process there is no limit to what we can accomplish
False,RT @nprpolitics: Be Like Bernie: Sanders Looks To Spread His Political Wealth https://t.co/xpbytinzqg,False,736956015178973184,0,iphone,False,597,False,en,Sun May 29 16:23:00 +0000 2016,rt @nprpolitics like bernie sanders looks spread political wealth,rt @nprpolitics be like bernie sanders looks to spread his political wealth
False,Special interest donors are many things – dummies they are not. They know exactly who and what they want to influence.,False,736941051869437952,3116,iphone,False,1223,False,en,Sun May 29 15:23:33 +0000 2016,special interest donors many things dummies know exactly want influence,special interest donors are many things dummies they are not they know exactly who and what they want to influence
False,RT @AlPunto: ¡Vamos Al Punto! Comenzamos con la entrevista de @LeonKrauze con @BernieSanders https://t.co/QNsoUJOd3m,False,736921396773691392,0,iphone,False,209,False,es,Sun May 29 14:05:26 +0000 2016,rt @alpunto vamos al punto comenzamos con la entrevista de @leonkrauze con @berniesanders,rt @alpunto vamos al punto comenzamos con la entrevista de @leonkrauze con @berniesanders
False,"If we win California, it'll be because there is a large voter turnout. We are striking a nerve, and more people are getting involved.",False,736755955552026625,10401,tweetdeck,False,3352,False,en,Sun May 29 03:08:02 +0000 2016,win california large voter turnout striking nerve people getting involved,if we win california it ll be because there is a large voter turnout we are striking a nerve and more people are getting involved
False,I am blown away by the fact that since we began this campaign one year ago we have received over 8 million individual contributions.,False,736732171365294081,9727,tweetdeck,False,2488,False,en,Sun May 29 01:33:32 +0000 2016,blown away fact since began campaign one year ago received million individual contributions,i am blown away by the fact that since we began this campaign one year ago we have received over million individual contributions
False,Demanding that the wealthy and the powerful start paying their fair share of taxes – that’s exactly what the American people want.,False,736687513771737090,3996,tweetdeck,False,1515,False,en,Sat May 28 22:36:04 +0000 2016,demanding wealthy powerful start paying fair share taxes exactly american people want,demanding that the wealthy and the powerful start paying their fair share of taxes that s exactly what the american people want
False,There is no reason why women are making 79 cents on the dollar compared to men. Women want the whole damn dollar and they're right!,False,736649251799732224,9907,tweetdeck,False,4422,False,en,Sat May 28 20:04:02 +0000 2016,reason women making cents dollar compared men women want whole damn dollar right,there is no reason why women are making cents on the dollar compared to men women want the whole damn dollar and they re right
