source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Sat Nov 05 20:26:58 +0000 2016,Thanks for your support! There's still time to get out and vote today. Visit https://t.co/g0pme2K5ae https://t.co/FuCN8KZvsG,False,thanks support still time get vote today visit,thanks for your support there s still time to get out and vote today visit
other,Sat Feb 20 03:01:12 +0000 2016,So glad to hear that he is doing okay. Continuing to pray for him. https://t.co/UM3ePPuWAM,False,glad hear okay continuing pray,so glad to hear that he is doing okay continuing to pray for him
other,Tue Mar 15 18:37:25 +0000 2016,RT @blbannan: Making calls for @marcorubio! Let's go @TeamMarco!! #Marcomentum #FLPrimary 🇺🇸🐘,True,rt @blbannan making calls @marcorubio let go @teammarco marcomentum flprimary,rt @blbannan making calls for @marcorubio let s go @teammarco marcomentum flprimary
other,Fri Jan 15 02:17:26 +0000 2016,Hillary Clinton is disqualified from being Commander-in-Chief. #GOPDebate,False,hillary clinton disqualified commander chief gopdebate,hillary clinton is disqualified from being commander in chief gopdebate
other,Fri Mar 11 02:42:44 +0000 2016,"Watching the #CNNDebate? Chip in to our campaign right now, right from Twitter: https://t.co/DFps8titsx",False,watching cnndebate chip campaign right right twitter,watching the cnndebate chip in to our campaign right now right from twitter
other,Sun Jan 10 01:59:48 +0000 2016,This is how we restore American leadership to a world badly in need of it: https://t.co/VN4pyGyXsK,False,restore american leadership world badly need,this is how we restore american leadership to a world badly in need of it
other,Fri May 27 21:33:51 +0000 2016,Ok but please don't pass out. https://t.co/u4Cc4RJaPF,False,ok please pass,ok but please don t pass out
other,Tue Mar 08 23:12:20 +0000 2016,"The polls are closing in less than 2 hours in Mississippi and most of Michigan! Call a friend, and then get out and vote for me!",False,polls closing less hours mississippi michigan call friend get vote,the polls are closing in less than hours in mississippi and most of michigan call a friend and then get out and vote for me
other,Sat Nov 26 18:17:35 +0000 2016,"RT @RosaMariaPaya: State Security has kidnaped @dmmelsexto &amp; several democratic activists 
The terror system imposed by #fidelcastro transc…",True,rt @rosamariapaya state security kidnaped @dmmelsexto several democratic activists terror system imposed fidelcastro transc,rt @rosamariapaya state security has kidnaped @dmmelsexto several democratic activists the terror system imposed by fidelcastro transc
other,Sun Aug 14 17:58:36 +0000 2016,Congratulations @MonicaAce93 for bringing home Puerto Rico's first ever gold medal! #Rio2016,False,congratulations @monicaace bringing home puerto rico first ever gold medal rio,congratulations @monicaace for bringing home puerto rico s first ever gold medal rio
other,Thu Jul 14 15:32:00 +0000 2016,Thank you to HSLDA  for their endorsement! I'll continue to stand up for homeschool freedom and protecting parental rights.,False,thank hslda endorsement continue stand homeschool freedom protecting parental rights,thank you to hslda for their endorsement i ll continue to stand up for homeschool freedom and protecting parental rights
other,Sat Jan 30 16:33:44 +0000 2016,RT @DanielsRobertD: 300+ for @marcorubio Sioux Sity Saturday Stop #FinishStrong #Marcomentum #ForcedAlliteration https://t.co/ApKtx0k9Ml,True,rt @danielsrobertd @marcorubio sioux sity saturday stop finishstrong marcomentum forcedalliteration,rt @danielsrobertd for @marcorubio sioux sity saturday stop finishstrong marcomentum forcedalliteration
other,Fri Jan 29 02:22:10 +0000 2016,"Watching the #GOPDebate? Chip in to our campaign right now, right from Twitter: https://t.co/DFps8tA4k5",False,watching gopdebate chip campaign right right twitter,watching the gopdebate chip in to our campaign right now right from twitter
other,Tue Feb 23 01:44:44 +0000 2016,"Join us tomorrow afternoon for a rally in Minneapolis! Click here to attend: https://t.co/XQ3XGE1La7 
I hope you can make it! #TeamMarcoMN",False,join us tomorrow afternoon rally minneapolis click attend hope make teammarcomn,join us tomorrow afternoon for a rally in minneapolis click here to attend i hope you can make it teammarcomn
other,Thu Jan 14 03:45:05 +0000 2016,ISIS must be confronted for what they are: a growing and looming threat. https://t.co/axRizxB65y,False,isis must confronted growing looming threat,isis must be confronted for what they are a growing and looming threat
