source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Thu Aug 25 20:02:08 +0000 2011,False,On the Future of Libya http://t.co/XjYlMhU,future libya,on the future of libya
other,Fri Aug 19 18:49:55 +0000 2011,False,A week later we are still remembering all the great patriotic Iowans we met at the state fair. We are also still... http://t.co/d89mtTl,week later still remembering great patriotic iowans met state fair also still,a week later we are still remembering all the great patriotic iowans we met at the state fair we are also still
other,Wed Aug 17 14:51:38 +0000 2011,False,"Obama:""Lincoln-they talked about him almost as bad as they talk about me"" Mr. Pres- tour Lincoln Museum anti-Abe display;try repeating claim",obama lincoln talked almost bad talk mr pres tour lincoln museum anti abe display try repeating claim,obama lincoln they talked about him almost as bad as they talk about me mr pres tour lincoln museum anti abe display try repeating claim
other,Mon Aug 15 21:21:12 +0000 2011,False,A Humbling Reminder of Our Duty http://t.co/OENZuJN,humbling reminder duty,a humbling reminder of our duty
other,Sun Aug 14 21:50:06 +0000 2011,False,via SarahPAC... Land of Lincoln http://t.co/Mxm3J4c and http://t.co/Z9eCvJy,via sarahpac land lincoln,via sarahpac land of lincoln and
other,Sun Aug 14 21:47:24 +0000 2011,False,"via SarahPAC... A Visit to ""America's Hometown"" http://t.co/ngJbEnW",via sarahpac visit america hometown,via sarahpac a visit to america s hometown
other,Sun Aug 14 21:43:24 +0000 2011,False,via SarahPAC... Good Sunday Morning! http://t.co/LZwVk66,via sarahpac good sunday morning,via sarahpac good sunday morning
other,Sat Aug 13 20:22:07 +0000 2011,False,"via SarahPAC... Governor Palin’s Appearance on “Hannity” at the Iowa State Fair on August 12, 2011 http://t.co/GWDv4j0",via sarahpac governor palin appearance hannity iowa state fair august,via sarahpac governor palin s appearance on hannity at the iowa state fair on august
other,Sat Aug 13 18:41:47 +0000 2011,False,Always Proud http://t.co/eMzIgcF,always proud,always proud
other,Sat Aug 13 16:04:31 +0000 2011,False,"Aww, this is nice. Celebrating my folks 50th this summer, I see what he means. Thanks Mom&Dad! ""Marriage Beautiful..."" http://t.co/cy4KBjS",aww nice celebrating folks th summer see means thanks mom dad marriage beautiful,aww this is nice celebrating my folks th this summer i see what he means thanks mom dad marriage beautiful
other,Wed Aug 10 23:56:58 +0000 2011,True,"RT @fredthompson: Obama at fundraiser: I ""inherited"" country's economic problems. Ok - but to ""inherit"" something, means you're now the  ...",rt @fredthompson obama fundraiser inherited country economic problems ok inherit something means,rt @fredthompson obama at fundraiser i inherited country s economic problems ok but to inherit something means you re now the
other,Wed Aug 10 05:51:05 +0000 2011,True,RT @GovWalker: Now it is time 2 move forward together 2 help job creators put more people back 2 work in WI.,rt @govwalker time move forward together help job creators put people back work wi,rt @govwalker now it is time move forward together help job creators put more people back work in wi
other,Wed Aug 10 04:49:44 +0000 2011,True,"RT @DLoesch: To reiterate: When Union bosses spend MILLIONS of middle class workers' $ & don't win whole hog, it's a failure no spin can ...",rt @dloesch reiterate union bosses spend millions middle class workers win whole hog failure spin,rt @dloesch to reiterate when union bosses spend millions of middle class workers don t win whole hog it s a failure no spin can
other,Tue Aug 09 00:28:12 +0000 2011,True,"RT @fredthompson: The S & P downgrades our debt, and now Obama's out golfing again. That's our president - always working on getting low ...",rt @fredthompson p downgrades debt obama golfing president always working getting low,rt @fredthompson the s p downgrades our debt and now obama s out golfing again that s our president always working on getting low
other,Mon Aug 08 22:53:13 +0000 2011,False,Conquering the Storm http://fb.me/13DuMzjhK,conquering storm,conquering the storm
other,Sun Aug 07 18:33:26 +0000 2011,True,RT @NavyNews: Those lost are in our thoughts & prayers. These SEALs are thinking about upcoming deployment. http://ow.ly/5X42u #neverforget,rt @navynews lost thoughts prayers seals thinking upcoming deployment neverforget,rt @navynews those lost are in our thoughts prayers these seals are thinking about upcoming deployment neverforget
other,Sun Aug 07 17:25:38 +0000 2011,False,"Pres Obama: you're losing our future. No more pretending ""with ever more manic protestations"" that this could continue http://tgr.ph/qsHQqE",pres obama losing future pretending ever manic protestations could continue,pres obama you re losing our future no more pretending with ever more manic protestations that this could continue
other,Sat Aug 06 01:17:34 +0000 2011,True,RT @dmoon: @JonahNRO @jamestaranto Geithner: No Risk U.S. Will Lose AAA Credit Rating: http://t.co/R3PRj7N,rt @dmoon @jonahnro @jamestaranto geithner risk u lose aaa credit rating,rt @dmoon @jonahnro @jamestaranto geithner no risk u s will lose aaa credit rating
other,Sat Aug 06 01:15:42 +0000 2011,False,"""@whitneypitcher: Governor Palin--Leading the Fight on Debt and Liabilities http://dlvr.it/f2Z19"" Retweeted by HeyTammyBruce",@whitneypitcher governor palin leading fight debt liabilities retweeted heytammybruce,@whitneypitcher governor palin leading the fight on debt and liabilities retweeted by heytammybruce
other,Wed Aug 03 03:50:16 +0000 2011,True,RT @C4Palin: SarahPac: Yet Another Anklebiter’s “Ethics” Complaint Bites the Dust http://bit.ly/pT4Jnw #tcot #palin,rt @c palin sarahpac yet another anklebiter ethics complaint bites dust tcot palin,rt @c palin sarahpac yet another anklebiter s ethics complaint bites the dust tcot palin
other,Fri Jul 29 21:47:17 +0000 2011,False,"@BarackObama you're wrong, threatening to throw seniors under the bus because you refuse to prioritize govt spending.Time to #womanup & lead",@barackobama wrong threatening throw seniors bus refuse prioritize govt spending time womanup lead,@barackobama you re wrong threatening to throw seniors under the bus because you refuse to prioritize govt spending time to womanup lead
other,Fri Jul 29 21:44:20 +0000 2011,False,"@BarackObama wants us to support a ""balanced deficit solution."" Great idea! How about a balanced budget amendment?",@barackobama wants us support balanced deficit solution great idea balanced budget amendment,@barackobama wants us to support a balanced deficit solution great idea how about a balanced budget amendment
other,Fri Jul 29 20:41:38 +0000 2011,False,@BarackObama wants us to contact Congress. Great idea! Tell them to rein in our dangerously unsustainable debt to protect our credit rating.,@barackobama wants us contact congress great idea tell rein dangerously unsustainable debt protect credit rating,@barackobama wants us to contact congress great idea tell them to rein in our dangerously unsustainable debt to protect our credit rating
other,Thu Jul 28 20:03:37 +0000 2011,False,Congressional Freshmen – For Such A Time As This http://fb.me/1au1epBZ6,congressional freshmen time,congressional freshmen for such a time as this
other,Sat Jul 23 02:11:11 +0000 2011,False,Lame Duck President http://fb.me/14PbOXzxC,lame duck president,lame duck president
other,Sat Jul 16 18:15:22 +0000 2011,False,"Here's a film crew from Down Under covering the opening night of ""The Undefeated."" Congratulations to the... http://fb.me/13SwROfKI",film crew covering opening night undefeated congratulations,here s a film crew from down under covering the opening night of the undefeated congratulations to the
other,Sat Jul 16 18:11:37 +0000 2011,False,Articles: A Rogue Warrior's Strategy for Conservatives http://fb.me/WN65FO9T,articles rogue warrior strategy conservatives,articles a rogue warrior s strategy for conservatives
other,Sat Jul 16 18:10:08 +0000 2011,False,http://fb.me/NdGZl6Kq, , 
other,Fri Jul 15 16:31:36 +0000 2011,False,"Obama lies, economy dies. He says ""default's catastrophic"" then opposes deal to avert it. Nonsense. Gold stars to GOP trying to deal w/this.",obama lies economy dies says default catastrophic opposes deal avert nonsense gold stars gop trying deal w,obama lies economy dies he says default s catastrophic then opposes deal to avert it nonsense gold stars to gop trying to deal w this
other,Fri Jul 15 01:04:14 +0000 2011,True,RT @newsbusters: Smug Ed Schultz Forced to Admit Huge Blunder About News Corp. http://ow.ly/1dOFBw,rt @newsbusters smug ed schultz forced admit huge blunder news corp,rt @newsbusters smug ed schultz forced to admit huge blunder about news corp
other,Sun Jul 10 23:18:00 +0000 2011,False,The Sugar Daddy Has Run Out of Sugar; Now We Need New Leaders http://fb.me/17SZxT5jR,sugar daddy run sugar need new leaders,the sugar daddy has run out of sugar now we need new leaders
other,Sat Jul 09 22:22:46 +0000 2011,False,The Sugar Daddy Has Run Out of Sugar; Now We Need New Leaders http://fb.me/JAb3r8Xi,sugar daddy run sugar need new leaders,the sugar daddy has run out of sugar now we need new leaders
other,Wed Jul 06 19:08:31 +0000 2011,False,Media Making Things Up: “Tears” and “Rages” During “The Undefeated”? Really? http://fb.me/zbrlxySK,media making things tears rages undefeated really,media making things up tears and rages during the undefeated really
other,Mon Jul 04 15:48:50 +0000 2011,False,"Let Freedom Ring! Happy Independence Day... thank God for America, thank God for our troops.",let freedom ring happy independence day thank god america thank god troops,let freedom ring happy independence day thank god for america thank god for our troops
other,Wed Jun 29 21:35:42 +0000 2011,True,RT @PalinUndefeated: Lashes out? Come on. RT @eonlineMovies: Sarah Palin Lashes Out at Hollywood Haters at Undefeated Premiere http://eo ...,rt @palinundefeated lashes come rt @eonlinemovies sarah palin lashes hollywood haters undefeated premiere,rt @palinundefeated lashes out come on rt @eonlinemovies sarah palin lashes out at hollywood haters at undefeated premiere
other,Wed Jun 29 17:47:44 +0000 2011,False,1st stop subsidizing foreign energy production (Brazil) THEN talk U.S production MT@E2Wire: Obama: Slash oil tax breaks http://bit.ly/iVsGwl,st stop subsidizing foreign energy production brazil talk u production mt@e wire obama slash oil tax breaks,st stop subsidizing foreign energy production brazil then talk u s production mt@e wire obama slash oil tax breaks
other,Wed Jun 29 14:31:04 +0000 2011,False,"Thank you, Iowa! Pella represents the state beautifully & Iowa reflects America's good heart. Hard working optimistic heartlanders= love you",thank iowa pella represents state beautifully iowa reflects america good heart hard working optimistic heartlanders love,thank you iowa pella represents the state beautifully iowa reflects america s good heart hard working optimistic heartlanders love you
other,Tue Jun 28 19:32:04 +0000 2011,False,"Sen. Kyl says Feds may extend Aug deadline for debt deal. Again. How many extensions now? Hype re: ""need"" to incur more debt NOW is nonsense",sen kyl says feds may extend aug deadline debt deal many extensions hype need incur debt nonsense,sen kyl says feds may extend aug deadline for debt deal again how many extensions now hype re need to incur more debt now is nonsense
other,Tue Jun 28 16:08:12 +0000 2011,False,"Great pic of a couple of strong, independent patriots who love family, faith & freedom! http://yfrog.com/khktwij",great pic couple strong independent patriots love family faith freedom,great pic of a couple of strong independent patriots who love family faith freedom
other,Tue Jun 28 14:53:13 +0000 2011,False,"Beautiful drive from MN yesterday, breathtaking scenic run along Des Moines Rvr, coffee w/great Iowans, head to Pella for ""The Undefeated""!",beautiful drive mn yesterday breathtaking scenic run along des moines rvr coffee w great iowans head pella undefeated,beautiful drive from mn yesterday breathtaking scenic run along des moines rvr coffee w great iowans head to pella for the undefeated
other,Mon Jun 27 21:34:15 +0000 2011,False,"Sarah, Bristol Palin to sign books at Minn. mall http://fb.me/B2EIWJqZ",sarah bristol palin sign books minn mall,sarah bristol palin to sign books at minn mall
other,Mon Jun 27 20:27:15 +0000 2011,False,*sigh* media making things up again MT @POLITICO2012: Sarah Palin reaching out to IOWA operatives http://politi.co/j9kQko by@maghabepolitico,sigh media making things mt @politico sarah palin reaching iowa operatives by@maghabepolitico,sigh media making things up again mt @politico sarah palin reaching out to iowa operatives by@maghabepolitico
other,Sun Jun 26 20:27:33 +0000 2011,False,@washingtonpost  #Libya #photos,@washingtonpost libya photos,@washingtonpost libya photos
other,Wed Jun 22 23:14:36 +0000 2011,False,*Sigh* Reports of Tour Demise Are Greatly Exaggerated http://fb.me/XblsnHSo,sigh reports tour demise greatly exaggerated,sigh reports of tour demise are greatly exaggerated
other,Wed Jun 22 20:51:09 +0000 2011,False,"Bristol's new book ""Not Afraid of Life"" is shocking, refreshing, honest, inspiring, and perfect. Plus ""Not Afraid... http://fb.me/IG37rHfw",bristol new book afraid life shocking refreshing honest inspiring perfect plus afraid,bristol s new book not afraid of life is shocking refreshing honest inspiring and perfect plus not afraid
other,Wed Jun 22 20:48:09 +0000 2011,False,"I did? Hmm, glad I have media to let me know my plans. They never cease to amaze MT ""@foxheadlines Palin Ends Bus Tour http://fxn.ws/ip0mgb""",hmm glad media let know plans never cease amaze mt @foxheadlines palin ends bus tour,i did hmm glad i have media to let me know my plans they never cease to amaze mt @foxheadlines palin ends bus tour
other,Wed Jun 22 20:33:12 +0000 2011,False,http://yfrog.com/kklu9rlj, , 
other,Wed Jun 22 20:32:01 +0000 2011,False,"...narrative. Spot on! (& she's courageous to write what she wrote, warning about decisions/consequences in encouraging way, esp for teens!)",narrative spot courageous write wrote warning decisions consequences encouraging way esp teens,narrative spot on she s courageous to write what she wrote warning about decisions consequences in encouraging way esp for teens
