source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,Encouraging NY companies to come to IN in this Sunday's @nytimes w/ full-page ad: http://t.co/g668zG9TYu @Indiana_EDC http://t.co/P1cZcHkw48,Fri Jan 24 14:29:00 +0000 2014,False,encouraging ny companies come sunday @nytimes w full page ad @indiana edc,encouraging ny companies to come to in in this sunday s @nytimes w full page ad @indiana edc
other,Checking out progress of Milton-Madison bridge w/ Mayor Damon Welch of @CityofMadisonIN crossed over to KY &amp; back http://t.co/NYApQgcTkX,Thu Mar 06 22:41:43 +0000 2014,False,checking progress milton madison bridge w mayor damon welch @cityofmadisonin crossed ky back,checking out progress of milton madison bridge w mayor damon welch of @cityofmadisonin crossed over to ky back
other,Audio of remarks made at this morning's HEA 1004 bill signing can be found here: http://t.co/4KBoMJNmxx #GovAgenda #PreKPilot,Thu Mar 27 17:32:03 +0000 2014,False,audio remarks made morning hea bill signing found govagenda prekpilot,audio of remarks made at this morning s hea bill signing can be found here govagenda prekpilot
other,This is a very real threat to region stability &amp; US security. &amp; so today @IDHS relaunched IN's #SeeSomethingSaySomething effort. @FoxNews,Wed Sep 24 18:31:57 +0000 2014,False,real threat region stability us security today @idhs relaunched seesomethingsaysomething effort @foxnews,this is a very real threat to region stability us security so today @idhs relaunched in s seesomethingsaysomething effort @foxnews
other,"This leg session, we will propose to increase tuition support w/in available resources &amp; support efforts to increase base funding per pupil.",Thu Dec 04 15:15:35 +0000 2014,False,leg session propose increase tuition support w available resources support efforts increase base funding per pupil,this leg session we will propose to increase tuition support w in available resources support efforts to increase base funding per pupil
other,"Glad to have Mayor Freeman-Wilson, State Senators Randolph and Rogers here with me. #PreKEducation",Fri Feb 07 17:29:02 +0000 2014,False,glad mayor freeman wilson state senators randolph rogers prekeducation,glad to have mayor freeman wilson state senators randolph and rogers here with me prekeducation
other,We must take steps now to strengthen mutual security thru a robust missile defense in all Eur. to protect NATO allies/US interests in region,Wed Apr 16 17:33:24 +0000 2014,False,must take steps strengthen mutual security thru robust missile defense eur protect nato allies us interests region,we must take steps now to strengthen mutual security thru a robust missile defense in all eur to protect nato allies us interests in region
other,IN will seek flexibility from fed govt to close the coverage gap by expanding our homegrown #HealthyIndiana Plan. http://t.co/g8e5bBjl5k,Mon May 19 15:17:22 +0000 2014,False,seek flexibility fed govt close coverage gap expanding homegrown healthyindiana plan,in will seek flexibility from fed govt to close the coverage gap by expanding our homegrown healthyindiana plan
other,"Heartfelt condolences &amp; prayers to family, friends of Bobby Fong &amp; students of @butleru on loss of great leader &amp; pillar of the community.",Tue Sep 09 15:00:13 +0000 2014,False,heartfelt condolences prayers family friends bobby fong students @butleru loss great leader pillar community,heartfelt condolences prayers to family friends of bobby fong students of @butleru on loss of great leader pillar of the community
other,.@WashingtonPost: IN's website detailing expenditures named most transparent in nation. Read more: http://t.co/9sFFRMSoFu #AStatethatWorks,Tue Apr 08 17:28:18 +0000 2014,False,@washingtonpost website detailing expenditures named transparent nation read astatethatworks,@washingtonpost in s website detailing expenditures named most transparent in nation read more astatethatworks
other,"On behalf of a grateful state, thank you for serving so that we all may live free. @IndyHonorFlight http://t.co/TcN0XDA8m2",Sun Oct 19 02:24:40 +0000 2014,False,behalf grateful state thank serving may live free @indyhonorflight,on behalf of a grateful state thank you for serving so that we all may live free @indyhonorflight
other,"On this eve of anniversary of Sept 2001, we do well to acknowledge the vital role that you play in informing the nation in troubled times.",Wed Sep 10 20:04:28 +0000 2014,False,eve anniversary sept well acknowledge vital role play informing nation troubled times,on this eve of anniversary of sept we do well to acknowledge the vital role that you play in informing the nation in troubled times
other,Excited to join @NFIB members for their Small Business Day Luncheon http://t.co/YKQErpYJlm,Wed Feb 19 17:46:35 +0000 2014,False,excited join @nfib members small business day luncheon,excited to join @nfib members for their small business day luncheon
other,I'll be on @FoxNewsSunday in a few minutes. Hope you can watch!,Sun Apr 27 13:15:01 +0000 2014,False,@foxnewssunday minutes hope watch,i ll be on @foxnewssunday in a few minutes hope you can watch
other,Congrats to Kathy Nimmer of Tippecanoe County on being named Indiana's 2015 Teacher of the Year. #HoosierServantLeadership,Wed Oct 01 13:11:45 +0000 2014,False,congrats kathy nimmer tippecanoe county named indiana teacher year hoosierservantleadership,congrats to kathy nimmer of tippecanoe county on being named indiana s teacher of the year hoosierservantleadership
other,Reviewing the honor guard just before our @IndyHonorFlight heroes arrive at Plainfield High School. http://t.co/NFksO5hl5p,Sun Oct 19 00:54:51 +0000 2014,False,reviewing honor guard @indyhonorflight heroes arrive plainfield high school,reviewing the honor guard just before our @indyhonorflight heroes arrive at plainfield high school
other,Getting some help at the Rudolph ornament station from the 3rd graders at the Center for Inquiry http://t.co/r6dxJcfJJK,Fri Dec 05 16:04:08 +0000 2014,False,getting help rudolph ornament station rd graders center inquiry,getting some help at the rudolph ornament station from the rd graders at the center for inquiry
other,"The future prosperity of IN depends on edu. beyond high school. In 2020, 60% of IN jobs will require post secondary edu. or certification.",Tue Feb 11 15:42:32 +0000 2014,False,future prosperity depends edu beyond high school jobs require post secondary edu certification,the future prosperity of in depends on edu beyond high school in of in jobs will require post secondary edu or certification
other,Thanks to @uwci for turning out at @ShepherdIndy today in support of #prek for Hoosiers. http://t.co/vMBWWWPHJe,Wed Feb 26 16:43:50 +0000 2014,False,thanks @uwci turning @shepherdindy today support prek hoosiers,thanks to @uwci for turning out at @shepherdindy today in support of prek for hoosiers
