source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,Senate Democrats have found a new low in their desire to hold national defense hostage to partisan politics https://t.co/VCAH9xyxD9,Fri Jul 08 19:07:03 +0000 2016,False,senate democrats found new low desire hold national defense hostage partisan politics,senate democrats have found a new low in their desire to hold national defense hostage to partisan politics
other,I am encouraged the U.S. Navy conducted a freedom of navigation operation in the #SouthChinaSea. My full stmt: https://t.co/eVK6756Iho,Sat Jan 30 19:14:05 +0000 2016,False,encouraged u navy conducted freedom navigation operation southchinasea full stmt,i am encouraged the u s navy conducted a freedom of navigation operation in the southchinasea my full stmt
other,#Arizona is very proud of our outstanding #Olympians - looking forward to even more success in final days! #Rio2016 https://t.co/XOSCfm6RFN,Fri Aug 19 16:13:17 +0000 2016,False,arizona proud outstanding olympians looking forward even success final days rio,arizona is very proud of our outstanding olympians looking forward to even more success in final days rio
other,"Pre-evacuation notices still in effect for Show Low, Pinetop-Lakeside, McNary, Hon-Dah &amp; Cedar Creek #AZ #CedarFire",Tue Jun 21 19:38:38 +0000 2016,False,pre evacuation notices still effect show low pinetop lakeside mcnary hon dah cedar creek az cedarfire,pre evacuation notices still in effect for show low pinetop lakeside mcnary hon dah cedar creek az cedarfire
other,"Must-read @WSJ: ""Vindicating Congress’s Power of the Purse: Obama said ‘so sue me.’ The House did &amp; Obama just lost"" https://t.co/L0bZ238evM",Fri May 13 11:56:38 +0000 2016,False,must read @wsj vindicating congress power purse obama said sue house obama lost,must read @wsj vindicating congress s power of the purse obama said so sue me the house did obama just lost
other,.@Heritage's 2017 Index of Military Strength imp't reminder that we cannot end crippling sequestration soon enough https://t.co/75ZHjZ17wC,Wed Nov 16 16:26:34 +0000 2016,False,@heritage index military strength imp reminder cannot end crippling sequestration soon enough,@heritage s index of military strength imp t reminder that we cannot end crippling sequestration soon enough
other,"Must-read @MikeBloomberg in @WSJ: ""The Terrorism Fight Needs Silicon Valley"" https://t.co/nnmzsDej0d",Thu Jun 30 13:24:30 +0000 2016,False,must read @mikebloomberg @wsj terrorism fight needs silicon valley,must read @mikebloomberg in @wsj the terrorism fight needs silicon valley
other,Democrats need to wake up to failure of #Obamacare. Watch my full remarks:  https://t.co/69eCCKeSFk,Thu Sep 15 16:51:45 +0000 2016,False,democrats need wake failure obamacare watch full remarks,democrats need to wake up to failure of obamacare watch my full remarks
other,"Honored to be on this season of ""Finding Your Roots"" w/ @HenryLouisGates, which premiers tonight @PBS - wonderful program, tune in!",Tue Jan 05 21:25:49 +0000 2016,False,honored season finding roots w @henrylouisgates premiers tonight @pbs wonderful program tune,honored to be on this season of finding your roots w @henrylouisgates which premiers tonight @pbs wonderful program tune in
other,".@washingtonpost: ""#Syrian peace talks are suspended before they even really began"" https://t.co/SHBmDUQTr9",Thu Feb 04 14:50:22 +0000 2016,False,@washingtonpost syrian peace talks suspended even really began,@washingtonpost syrian peace talks are suspended before they even really began
other,".@TucsonStar: ""Retirement of A-10 Thunderbolt II pushed back to 2022""
https://t.co/qekVhYreqv",Wed Feb 03 18:14:54 +0000 2016,False,@tucsonstar retirement thunderbolt ii pushed back,@tucsonstar retirement of a thunderbolt ii pushed back to
other,Congrats to John Chayka on being named new @ArizonaCoyotes general manager - youngest GM in @NHL history! #Coyotes https://t.co/99zMAsTqlF,Thu May 05 18:28:30 +0000 2016,False,congrats john chayka named new @arizonacoyotes general manager youngest gm @nhl history coyotes,congrats to john chayka on being named new @arizonacoyotes general manager youngest gm in @nhl history coyotes
other,"Great development for Mohave Cnty anglers @havasunews: ""The years-long wait for trout to return to the Colorado"" https://t.co/uGcvOkkDtW",Wed Sep 14 19:00:19 +0000 2016,False,great development mohave cnty anglers @havasunews years long wait trout return colorado,great development for mohave cnty anglers @havasunews the years long wait for trout to return to the colorado
other,Enjoyed the discussion with @Cronkite_ASU students and @cunninghamjeff today - fantastic questions https://t.co/8bAMxiEix6,Fri Feb 19 22:45:56 +0000 2016,False,enjoyed discussion @cronkite asu students @cunninghamjeff today fantastic questions,enjoyed the discussion with @cronkite asu students and @cunninghamjeff today fantastic questions
other,"#Russia, #Iran &amp; #Turkey's mtg w/out US re #Syria is predictable consequence of @POTUS's disengagement from Mid East https://t.co/EyZJSLZa42",Wed Dec 21 19:03:16 +0000 2016,False,russia iran turkey mtg w us syria predictable consequence @potus disengagement mid east,russia iran turkey s mtg w out us re syria is predictable consequence of @potus s disengagement from mid east
