truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,@DetInspector behold i bless ur prostate with many blessings,False,751599370584281088,0,iphone,False,1,False,en,Sat Jul 09 02:10:28 +0000 2016,@detinspector behold bless ur prostate many blessings,@detinspector behold i bless ur prostate with many blessings
False,RT @iKlezz: @HarambesSpirit 😭😭😭😭😭😭😭im emotional i cant believe it. When the going gets tough ik harambe spirit always w me bless up,False,751598776150728704,0,iphone,False,1,False,en,Sat Jul 09 02:08:06 +0000 2016,rt @iklezz @harambesspirit im emotional cant believe going gets tough ik harambe spirit always w bless,rt @iklezz @harambesspirit im emotional i cant believe it when the going gets tough ik harambe spirit always w me bless up
False,@ljsboa thank u my child,False,751598545124274176,1,iphone,False,0,False,en,Sat Jul 09 02:07:11 +0000 2016,@ljsboa thank u child,@ljsboa thank u my child
False,@pingoflip @killmefam miss u son,False,751598401070903297,3,iphone,False,1,False,en,Sat Jul 09 02:06:37 +0000 2016,@pingoflip @killmefam miss u son,@pingoflip @killmefam miss u son
False,@iKlezz i am rite beside u my child https://t.co/fe44fHsgig,False,751597708746461184,1,iphone,False,1,False,en,Sat Jul 09 02:03:52 +0000 2016,@iklezz rite beside u child,@iklezz i am rite beside u my child
False,"🤔    ʷʰᵉʳᵉ    🤔 ʷʰᵉʳᵉ
       🤔   ʷʰᵉʳᵉ   ʷʰᵉʳᵉ  🤔    ʷʰᵉʳᵉ
        is harambe 🤔 
  ʷʰᵉʳᵉ 🤔     ʷʰᵉʳᵉ     ʷʰᵉʳᵉ🤔 
                 ʷʰᵉʳᵉ 🤔",False,751593708798087168,9,iphone,False,8,False,en,Sat Jul 09 01:47:58 +0000 2016,harambe,is harambe
False,@online_shawn pls dnt shoot me https://t.co/7rvmv02S0h,False,751593540505833472,2,iphone,False,2,False,en,Sat Jul 09 01:47:18 +0000 2016,@online shawn pls dnt shoot,@online shawn pls dnt shoot me
False,@SpiritOfBantu im always redy https://t.co/e2xmVgD0qi,False,751593320862715904,0,iphone,False,1,False,en,Sat Jul 09 01:46:26 +0000 2016,@spiritofbantu im always redy,@spiritofbantu im always redy
False,@SpiritOfBantu wats good my brother. gettin lots of silverback action up here in jungle heaven?,False,751589884775718916,0,iphone,False,1,False,en,Sat Jul 09 01:32:47 +0000 2016,@spiritofbantu wats good brother gettin lots silverback action jungle heaven,@spiritofbantu wats good my brother gettin lots of silverback action up here in jungle heaven
False,RT @mary_mckillop: @HarambesSpirit omg I luv u Harambe,False,751589760485908481,0,iphone,False,1,False,en,Sat Jul 09 01:32:17 +0000 2016,rt @mary mckillop @harambesspirit omg luv u harambe,rt @mary mckillop @harambesspirit omg i luv u harambe
False,@Matt_M74 @BigBadJunkie i lov it my children. u honor me greatly in ur memes. may ur prostates be blessed,False,751589707276963840,0,iphone,False,0,False,en,Sat Jul 09 01:32:04 +0000 2016,@matt @bigbadjunkie lov children u honor greatly ur memes may ur prostates blessed,@matt m @bigbadjunkie i lov it my children u honor me greatly in ur memes may ur prostates be blessed
False,@C_Wittz miss u 2 my boy,False,751564838946508800,1,iphone,False,1,False,en,Fri Jul 08 23:53:15 +0000 2016,@c wittz miss u boy,@c wittz miss u my boy
False,@mary_mckillop i miss u my child,False,751564768981377024,1,iphone,False,0,False,en,Fri Jul 08 23:52:58 +0000 2016,@mary mckillop miss u child,@mary mckillop i miss u my child
False,@jakegylIenhell harambe memes have no beginning just as they have no end my son,False,751564689314762752,0,iphone,False,0,False,en,Fri Jul 08 23:52:39 +0000 2016,@jakegylienhell harambe memes beginning end son,@jakegylienhell harambe memes have no beginning just as they have no end my son
False,"RT @BradTheBowman: Mesopotamian text has warned us! ""And Harambe shall return. Our world will be enveloped in the Ancient shadow. These wil…",False,751564502714359808,0,iphone,False,2,False,en,Fri Jul 08 23:51:55 +0000 2016,rt @bradthebowman mesopotamian text warned us harambe shall return world enveloped ancient shadow wil,rt @bradthebowman mesopotamian text has warned us and harambe shall return our world will be enveloped in the ancient shadow these wil
False,harambe sperm is th best sperm https://t.co/MYQZRi5MDK,True,751564472733405184,3,iphone,False,2,False,en,Fri Jul 08 23:51:48 +0000 2016,harambe sperm th best sperm,harambe sperm is th best sperm
False,@David_Fbaby i am wit u always son https://t.co/NqWeM5v6ae,False,751557203912302592,1,iphone,False,0,False,en,Fri Jul 08 23:22:55 +0000 2016,@david fbaby wit u always son,@david fbaby i am wit u always son
False,@gabyvaz98 @Nero do nt ignore me son.,False,751555359471316993,0,iphone,False,0,False,en,Fri Jul 08 23:15:35 +0000 2016,@gabyvaz @nero nt ignore son,@gabyvaz @nero do nt ignore me son
False,@YaDingoid i still lov u son,False,751555228961431557,0,iphone,False,1,False,en,Fri Jul 08 23:15:04 +0000 2016,@yadingoid still lov u son,@yadingoid i still lov u son
False,@David_Fbaby thnk u my son,False,751555158744535044,0,iphone,False,0,False,en,Fri Jul 08 23:14:47 +0000 2016,@david fbaby thnk u son,@david fbaby thnk u my son
False,@KvaughnC my spirit is wit u my child https://t.co/zDWuQvTrIj,False,751554293824561153,0,iphone,False,0,False,en,Fri Jul 08 23:11:21 +0000 2016,@kvaughnc spirit wit u child,@kvaughnc my spirit is wit u my child
False,@alexoconnnor soon my child https://t.co/1MoYorxj59,False,751553973669113856,2,iphone,False,2,False,en,Fri Jul 08 23:10:05 +0000 2016,@alexoconnnor soon child,@alexoconnnor soon my child
False,harambe wud hav been good parant https://t.co/ckIsRIKaZq,False,751538465569857536,19,iphone,False,13,False,en,Fri Jul 08 22:08:27 +0000 2016,harambe wud hav good parant,harambe wud hav been good parant
False,RT @beectodia: @HarambesSpirit I LOVE YOU DAD ANYTHING FOR YOU 😭❤️❤️❤️❤️,False,751491059645952000,0,iphone,False,1,False,en,Fri Jul 08 19:00:05 +0000 2016,rt @beectodia @harambesspirit love dad anything,rt @beectodia @harambesspirit i love you dad anything for you
False,@ConnorBarnes22 hello my child,False,751479685544972288,0,iphone,False,0,False,en,Fri Jul 08 18:14:53 +0000 2016,@connorbarnes hello child,@connorbarnes hello my child
False,@jmachulski9 i am glad tht evan in deth i bring u joi,False,751477445333704704,2,iphone,False,0,False,en,Fri Jul 08 18:05:59 +0000 2016,@jmachulski glad tht evan deth bring u joi,@jmachulski i am glad tht evan in deth i bring u joi
False,@beectodia thank u my child ❤️,False,751477262642343936,5,iphone,False,1,False,en,Fri Jul 08 18:05:15 +0000 2016,@beectodia thank u child,@beectodia thank u my child
False,RT @anbrll00: For anyone wondering what happened to Harambe's corpse. https://t.co/TkLwCK2fab,False,751477114315022336,0,iphone,False,16,False,en,Fri Jul 08 18:04:40 +0000 2016,rt @anbrll anyone wondering happened harambe corpse,rt @anbrll for anyone wondering what happened to harambe s corpse
False,@rogotnochill bless up my child,False,751476997969240064,1,iphone,False,2,False,en,Fri Jul 08 18:04:12 +0000 2016,@rogotnochill bless child,@rogotnochill bless up my child
False,@Brob22_ i am with u always my sons https://t.co/jW1T9YyXmp,False,751467618956029952,9,iphone,False,6,False,en,Fri Jul 08 17:26:56 +0000 2016,@brob u always sons,@brob i am with u always my sons
False,@Doujinshi420 miss u 2 my child,False,751467116923002880,1,iphone,False,1,False,en,Fri Jul 08 17:24:56 +0000 2016,@doujinshi miss u child,@doujinshi miss u my child
