truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,"Russia-phobia must end.
They are our natural  allies in the huge Christian worldwide war against Islam coming up, and #MAGA means sacrifice.",False,833269638746218496,3044,other,False,1728,False,en,Sun Feb 19 10:58:57 +0000 2017,russia phobia must end natural allies huge christian worldwide war islam coming maga means sacrifice,russia phobia must end they are our natural allies in the huge christian worldwide war against islam coming up and maga means sacrifice
False,@realDonaldTrump We are nearing a constitutional crisis. When judges bypass the POTUS the system is out. So emergency laws are on the table.,False,827915862871068672,835,iphone,False,372,False,en,Sat Feb 04 16:24:58 +0000 2017,@realdonaldtrump nearing constitutional crisis judges bypass potus system emergency laws table,@realdonaldtrump we are nearing a constitutional crisis when judges bypass the potus the system is out so emergency laws are on the table
False,"Now at the NSC table, critics can moan all they want. America will be great again and the old elite is going. It´s our way or the Highway!",False,827548098607996932,1243,other,False,453,False,en,Fri Feb 03 16:03:36 +0000 2017,nsc table critics moan want america great old elite going way highway,now at the nsc table critics can moan all they want america will be great again and the old elite is going it s our way or the highway
False,The US has just begun it´s change and we will remove all obstacles for Making America Great again! The revolution is on.,False,827167772912164864,1386,other,False,598,False,en,Thu Feb 02 14:52:19 +0000 2017,us begun change remove obstacles making america great revolution,the us has just begun it s change and we will remove all obstacles for making america great again the revolution is on
